-161.932,82.723,170.733
-158.486,86.747,248.410
-153.026,93.123,2607.191
-140.817,107.380,-171.233
-134.712,114.509,-66.628
-128.607,121.637,-37.944
-127.443,122.996,-25.643
-126.425,124.023,-19.806
-125.315,124.949,-16.785
-124.124,125.767,-15.378
-122.861,126.470,-15.020
-121.537,127.052,-15.476
-120.165,127.507,-16.607
-118.757,127.832,-18.390
-116.912,128.059,-20.600
-115.057,128.176,-22.902
-113.198,128.184,-25.041
-111.342,128.081,-27.243
-109.495,127.870,-30.879
-107.644,127.545,-39.997
-105.816,127.111,-76.708
-104.016,126.568,259.992
-102.253,125.918,41.533
-101.194,125.538,22.009
-100.102,125.264,15.567
-98.989,125.099,12.700
-97.865,125.047,11.393
-96.550,125.127,10.866
-95.253,125.359,10.752
-93.993,125.740,10.852
-92.785,126.265,11.027
-91.646,126.926,11.201
-90.591,127.716,11.336
-89.636,128.622,11.419
-88.792,129.633,11.456
-88.071,130.736,11.462
-87.483,131.914,11.451
-87.036,133.153,11.434
-86.735,134.436,11.418
-86.586,135.744,11.408
-86.590,137.062,11.404
-86.746,138.369,11.407
-87.053,139.650,11.414
-87.507,140.887,11.424
-88.101,142.062,11.433
-88.828,143.161,11.435
-89.677,144.167,11.423
-90.638,145.069,11.388
-91.696,145.852,11.324
-92.839,146.508,11.232
-94.049,147.026,11.127
-95.312,147.401,11.046
-96.610,147.626,11.088
-97.925,147.699,11.366
-98.906,147.654,12.058
-99.879,147.524,13.279
-100.838,147.310,15.259
-102.667,146.754,17.909
-104.452,146.072,21.054
-106.186,145.268,24.182
-107.860,144.346,26.944
-109.466,143.309,29.971
-110.997,142.164,35.088
-112.443,140.915,45.106
-113.800,139.568,71.366
-117.245,135.643,161.373
-120.689,131.717,3041.865
-122.142,130.142,-500.967
-123.670,128.639,-6776.073
-125.271,127.214,230.852
-126.900,125.820,110.387
-128.430,124.316,80.589
-129.853,122.711,83.067
-142.095,108.417,106.400
-148.216,101.270,202.100
-156.332,91.792,1244.556
-159.756,87.793,-671.877
-163.181,83.795,-1344.893
-165.038,81.564,253.634
-166.896,79.333,77.199
-169.255,76.488,38.918
-171.613,73.643,24.954
-172.398,72.543,18.297
-173.058,71.363,15.144
-173.585,70.119,13.405
-173.973,68.824,12.445
-174.217,67.495,11.689
-174.315,66.147,10.806
-174.264,64.796,9.780
-174.067,63.459,8.761
-173.899,62.722,7.899
-173.650,62.007,7.305
-173.324,61.325,6.949
-172.755,60.451,6.792
-172.059,59.675,6.758
-171.252,59.014,6.791
-170.354,58.484,6.832
-169.386,58.097,6.853
-168.371,57.863,6.845
-167.331,57.786,6.803
-166.413,57.850,6.740
-165.512,58.038,6.679
-164.645,58.345,6.624
-163.827,58.767,6.606
-162.988,59.364,6.645
-162.249,60.081,6.784
-161.626,60.902,7.099
-161.134,61.807,7.682
-160.784,62.775,8.653
-160.584,63.786,10.025
-160.539,64.815,11.760
-160.556,66.598,13.303
-160.500,68.381,14.361
-160.540,69.673,15.132
-160.737,70.951,16.945
-161.088,72.195,22.797
-161.588,73.388,55.680
-162.175,74.497,-58.168
-162.629,75.407,-17.550
-163.027,76.342,-10.517
-163.263,77.221,-7.949
-163.377,78.124,-6.905
-163.365,79.035,-6.625
-163.227,79.935,-6.774
-162.925,80.921,-7.290
-161.932,82.723,-7.942
